,inter1,inter2,node,x_loc,y_loc
0,1ST ST,BUSH ST,1ST ST | BUSH ST | ,37.791053,-122.399187
1,1ST ST,STEVENSON ST,1ST ST | STEVENSON ST | ,37.790600,-122.398619
2,1ST ST,JESSIE ST,"1ST ST | JESSIE ST | 1ST ST, STEVENSON ST,1ST ST, ELIM ALY,JESSIE ST, ECKER ST",37.790255,-122.398180
4,1ST ST,MISSION ST,"1ST ST | MISSION ST | 1ST ST, ELIM ALY,1ST ST, TRANSBAY HUMP,MISSION ST, FREMONT ST,MISSION ST, ECKER ST",37.789786,-122.397583
6,1ST ST,MINNA ST,"1ST ST | MINNA ST | 1ST ST, TRANSBAY HUMP,1ST ST, NATOMA ST,MINNA ST, SHAW ALY",37.789368,-122.397051
7,1ST ST,NATOMA ST,"1ST ST | NATOMA ST | 1ST ST, MINNA ST,1ST ST, HOWARD ST,NATOMA ST, FREMONT ST,NATOMA ST, 2ND ST",37.788986,-122.396573
8,1ST ST,HOWARD ST,"1ST ST | HOWARD ST | 1ST ST, NATOMA ST,1ST ST, TEHAMA ST,HOWARD ST, FREMONT ST,HOWARD ST, MALDEN ALY",37.788556,-122.396031
9,1ST ST,TEHAMA ST,"1ST ST | TEHAMA ST | 1ST ST, HOWARD ST,1ST ST, CLEMENTINA ST,TEHAMA ST, MALDEN ALY",37.788121,-122.395496
10,1ST ST,CLEMENTINA ST,"1ST ST | CLEMENTINA ST | 1ST ST, TEHAMA ST,1ST ST, FOLSOM ST,CLEMENTINA ST, ECKER ST",37.787727,-122.395011
11,1ST ST,FOLSOM ST,"1ST ST | FOLSOM ST | 1ST ST, CLEMENTINA ST,1ST ST, GUY PL,FOLSOM ST, GROTE PL,FOLSOM ST, ECKER ST",37.787335,-122.394524
12,1ST ST,GUY PL,"1ST ST | GUY PL | 1ST ST, FOLSOM ST,1ST ST, LANSING ST,GUY PL, LANSING ST",37.786877,-122.393942
13,1ST ST,LANSING ST,"1ST ST | LANSING ST | 1ST ST, GUY PL,1ST ST, HARRISON ST,LANSING ST, GUY PL",37.786429,-122.393527
14,1ST ST,HARRISON ST,"1ST ST | HARRISON ST | 1ST ST, LANSING ST,1ST ST, END,HARRISON ST, FREMONT ST,HARRISON ST, ESSEX ST",37.785985,-122.393067
17,2ND AVE,LAKE ST,"2ND AVE | LAKE ST | 2ND AVE, END,2ND AVE, CALIFORNIA ST,LAKE ST, ARGUELLO BLVD,LAKE ST, 3RD AVE",37.786872,-122.460411
18,2ND AVE,CALIFORNIA ST,"2ND AVE | CALIFORNIA ST | 2ND AVE, LAKE ST,2ND AVE, CORNWALL ST,CALIFORNIA ST, ARGUELLO BLVD,CALIFORNIA ST, 3RD AVE",37.785537,-122.460314
19,2ND AVE,CORNWALL ST,"2ND AVE | CORNWALL ST | 2ND AVE, CALIFORNIA ST,2ND AVE, CLEMENT ST,CORNWALL ST, ARGUELLO BLVD,CORNWALL ST, 3RD AVE",37.785006,-122.460270
20,2ND AVE,CLEMENT ST,"2ND AVE | CLEMENT ST | 2ND AVE, CORNWALL ST,2ND AVE, GEARY BLVD,CLEMENT ST, ARGUELLO BLVD,CLEMENT ST, 3RD AVE",37.783161,-122.460144
21,2ND AVE,GEARY BLVD,"2ND AVE | GEARY BLVD | 2ND AVE, CLEMENT ST,2ND AVE, ANZA ST,GEARY BLVD, ARGUELLO BLVD,GEARY BLVD, 3RD AVE",37.781147,-122.459992
22,2ND AVE,ANZA ST,"2ND AVE | ANZA ST | 2ND AVE, GEARY BLVD,2ND AVE, BALBOA ST,ANZA ST, ARGUELLO BLVD,ANZA ST, 3RD AVE",37.779291,-122.459865
23,2ND AVE,BALBOA ST,"2ND AVE | BALBOA ST | 2ND AVE, ANZA ST,2ND AVE, CABRILLO ST,BALBOA ST, ARGUELLO BLVD,BALBOA ST, 3RD AVE",37.777421,-122.459732
24,2ND AVE,CABRILLO ST,"2ND AVE | CABRILLO ST | 2ND AVE, BALBOA ST,2ND AVE, FULTON ST,CABRILLO ST, ARGUELLO BLVD,CABRILLO ST, 3RD AVE",37.775565,-122.459597
25,2ND AVE,FULTON ST,"2ND AVE | FULTON ST | 2ND AVE, CABRILLO ST,2ND AVE, LINCOLN WAY,FULTON ST, ARGUELLO BLVD,FULTON ST, 3RD AVE",37.774134,-122.459479
26,2ND AVE,LINCOLN WAY,"2ND AVE | LINCOLN WAY | 2ND AVE, FULTON ST,2ND AVE, HUGO ST,LINCOLN WAY, ARGUELLO BLVD,LINCOLN WAY, 3RD AVE",37.766216,-122.458949
27,2ND AVE,HUGO ST,"2ND AVE | HUGO ST | 2ND AVE, LINCOLN WAY,2ND AVE, IRVING ST,HUGO ST, ARGUELLO BLVD,HUGO ST, 3RD AVE",37.765309,-122.458886
28,2ND AVE,IRVING ST,"2ND AVE | IRVING ST | 2ND AVE, HUGO ST,IRVING ST, ARGUELLO BLVD,IRVING ST, 3RD AVE",37.764381,-122.458812
29,2ND ST,MARKET ST,"2ND ST | MARKET ST | 2ND ST, STEVENSON ST,MARKET ST, 1ST ST,MARKET ST, BATTERY ST",37.789249,-122.401451
30,2ND ST,STEVENSON ST,"2ND ST | STEVENSON ST | 2ND ST, MARKET ST,2ND ST, JESSIE ST,STEVENSON ST, ECKER ST,STEVENSON ST, NEW MONTGOMERY ST",37.788808,-122.400871
31,2ND ST,JESSIE ST,"2ND ST | JESSIE ST | 2ND ST, STEVENSON ST,2ND ST, MISSION ST,JESSIE ST, ANTHONY ST,JESSIE ST, NEW MONTGOMERY ST",37.788441,-122.400391
32,2ND ST,MISSION ST,"2ND ST | MISSION ST | 2ND ST, JESSIE ST,2ND ST, MINNA ST,MISSION ST, ANTHONY ST,MISSION ST, NEW MONTGOMERY ST",37.788018,-122.399803
33,2ND ST,MINNA ST,"2ND ST | MINNA ST | 2ND ST, MISSION ST,2ND ST, NATOMA ST,MINNA ST, SHAW ALY,MINNA ST, NEW MONTGOMERY ST",37.787590,-122.399277
34,2ND ST,NATOMA ST,"2ND ST | NATOMA ST | 2ND ST, MINNA ST,2ND ST, HOWARD ST,NATOMA ST, 1ST ST,NATOMA ST, NEW MONTGOMERY ST",37.787222,-122.398821
35,2ND ST,HOWARD ST,"2ND ST | HOWARD ST | 2ND ST, NATOMA ST,2ND ST, TEHAMA ST,HOWARD ST, MALDEN ALY,HOWARD ST, NEW MONTGOMERY ST",37.786794,-122.398268
36,2ND ST,TEHAMA ST,"2ND ST | TEHAMA ST | 2ND ST, HOWARD ST,2ND ST, CLEMENTINA ST,TEHAMA ST, MALDEN ALY,TEHAMA ST, END",37.786352,-122.397730
37,2ND ST,CLEMENTINA ST,"2ND ST | CLEMENTINA ST | 2ND ST, TEHAMA ST,2ND ST, FOLSOM ST,CLEMENTINA ST, OSCAR ALY,CLEMENTINA ST, KAPLAN LN",37.785973,-122.397282
38,2ND ST,FOLSOM ST,"2ND ST | FOLSOM ST | 2ND ST, CLEMENTINA ST,2ND ST, DOW PL,FOLSOM ST, ESSEX ST,FOLSOM ST, HAWTHORNE ST",37.785550,-122.396718
39,2ND ST,DOW PL,"2ND ST | DOW PL | 2ND ST, FOLSOM ST,2ND ST, HARRISON ST,DOW PL, END",37.784920,-122.395927
40,2ND ST,HARRISON ST,"2ND ST | HARRISON ST | 2ND ST, DOW PL,2ND ST, STILLMAN ST,HARRISON ST, ESSEX ST,HARRISON ST, VASSAR PL",37.784310,-122.395160
41,2ND ST,STILLMAN ST,"2ND ST | STILLMAN ST | 2ND ST, HARRISON ST,2ND ST, BRYANT ST,STILLMAN ST, 4TH ST",37.783525,-122.394170
42,2ND ST,BRYANT ST,"2ND ST | BRYANT ST | 2ND ST, STILLMAN ST,2ND ST, TABER PL,BRYANT ST, STERLING ST,BRYANT ST, JACK LONDON ALY",37.783096,-122.393626
44,2ND ST,FEDERAL ST,"2ND ST | FEDERAL ST | 2ND ST, TABER PL,2ND ST, SOUTH PARK,FEDERAL ST, END,FEDERAL ST, END",37.782671,-122.393094
46,2ND ST,DE BOOM ST,"2ND ST | DE BOOM ST | 2ND ST, SOUTH PARK,2ND ST, BRANNAN ST,DE BOOM ST, END",37.782292,-122.392614
47,2ND ST,BRANNAN ST,"2ND ST | BRANNAN ST | 2ND ST, DE BOOM ST,2ND ST, TOWNSEND ST,BRANNAN ST, COLIN P KELLY JR ST,BRANNAN ST, STANFORD ST",37.781850,-122.392099
48,2ND ST,TOWNSEND ST,"2ND ST | TOWNSEND ST | 2ND ST, BRANNAN ST,2ND ST, KING ST,TOWNSEND ST, COLIN P KELLY JR ST,TOWNSEND ST, STANFORD ST",37.780630,-122.390543
49,2ND ST,KING ST,"2ND ST | KING ST | 2ND ST, TOWNSEND ST,KING ST, THE EMBARCADERO,KING ST, 3RD ST",37.779942,-122.389677
51,3RD AVE,LAKE ST,"3RD AVE | LAKE ST | 3RD AVE, END,3RD AVE, CALIFORNIA ST,LAKE ST, 2ND AVE,LAKE ST, 4TH AVE",37.786820,-122.461487
52,3RD AVE,CALIFORNIA ST,"3RD AVE | CALIFORNIA ST | 3RD AVE, LAKE ST,3RD AVE, CORNWALL ST,CALIFORNIA ST, 2ND AVE,CALIFORNIA ST, 4TH AVE",37.785402,-122.461375
53,3RD AVE,CORNWALL ST,"3RD AVE | CORNWALL ST | 3RD AVE, CALIFORNIA ST,3RD AVE, CLEMENT ST,CORNWALL ST, 2ND AVE,CORNWALL ST, 4TH AVE",37.784952,-122.461334
54,3RD AVE,CLEMENT ST,"3RD AVE | CLEMENT ST | 3RD AVE, CORNWALL ST,3RD AVE, GEARY BLVD,CLEMENT ST, 2ND AVE,CLEMENT ST, 4TH AVE",37.783108,-122.461212
55,3RD AVE,GEARY BLVD,"3RD AVE | GEARY BLVD | 3RD AVE, CLEMENT ST,3RD AVE, ANZA ST,GEARY BLVD, 2ND AVE,GEARY BLVD, 4TH AVE",37.781232,-122.461071
56,3RD AVE,ANZA ST,"3RD AVE | ANZA ST | 3RD AVE, GEARY BLVD,3RD AVE, BALBOA ST,ANZA ST, 2ND AVE,ANZA ST, 4TH AVE",37.779243,-122.460937
57,3RD AVE,BALBOA ST,"3RD AVE | BALBOA ST | 3RD AVE, ANZA ST,3RD AVE, CABRILLO ST,BALBOA ST, 2ND AVE,BALBOA ST, 4TH AVE",37.777371,-122.460804
58,3RD AVE,CABRILLO ST,"3RD AVE | CABRILLO ST | 3RD AVE, BALBOA ST,3RD AVE, FULTON ST,CABRILLO ST, 2ND AVE,CABRILLO ST, 4TH AVE",37.775516,-122.460664
59,3RD AVE,FULTON ST,"3RD AVE | FULTON ST | 3RD AVE, CABRILLO ST,3RD AVE, KEZAR DR,FULTON ST, 2ND AVE,FULTON ST, 4TH AVE",37.773998,-122.460551
61,3RD AVE,LINCOLN WAY,"3RD AVE | LINCOLN WAY | 3RD AVE, KEZAR DR,3RD AVE, HUGO ST,LINCOLN WAY, 2ND AVE,LINCOLN WAY, 4TH AVE",37.766199,-122.459529
62,3RD AVE,HUGO ST,"3RD AVE | HUGO ST | 3RD AVE, LINCOLN WAY,3RD AVE, IRVING ST,HUGO ST, 2ND AVE,HUGO ST, 4TH AVE",37.765259,-122.459955
63,3RD AVE,IRVING ST,"3RD AVE | IRVING ST | 3RD AVE, HUGO ST,3RD AVE, PARNASSUS AVE,IRVING ST, 2ND AVE,IRVING ST, 4TH AVE",37.764330,-122.459906
64,3RD AVE,PARNASSUS AVE,"3RD AVE | PARNASSUS AVE | 3RD AVE, IRVING ST,PARNASSUS AVE, HILLWAY AVE,PARNASSUS AVE, 4TH AVE",37.762936,-122.459797
65,3RD ST,KEARNY ST,"3RD ST | KEARNY ST | 3RD ST, STEVENSON ST,KEARNY ST, GEARY ST",37.787666,-122.403460
66,3RD ST,STEVENSON ST,"3RD ST | STEVENSON ST | 3RD ST, KEARNY ST,3RD ST, JESSIE ST,STEVENSON ST, ANNIE ST,STEVENSON ST, END",37.787026,-122.403031
67,3RD ST,JESSIE ST,"3RD ST | JESSIE ST | 3RD ST, STEVENSON ST,3RD ST, MISSION ST,JESSIE ST, ANNIE ST,JESSIE ST, JESSIE WEST ST",37.786698,-122.402602
68,3RD ST,MISSION ST,"3RD ST | MISSION ST | 3RD ST, JESSIE ST,3RD ST, MINNA ST,MISSION ST, ANNIE ST,MISSION ST, 4TH ST",37.786286,-122.402062
69,3RD ST,MINNA ST,"3RD ST | MINNA ST | 3RD ST, MISSION ST,3RD ST, HOWARD ST,MINNA ST, NEW MONTGOMERY ST,MINNA ST, 4TH ST",37.785842,-122.401506
70,3RD ST,HOWARD ST,"3RD ST | HOWARD ST | 3RD ST, MINNA ST,3RD ST, CLEMENTINA ST,HOWARD ST, HAWTHORNE ST,HOWARD ST, 4TH ST",37.785021,-122.400505
71,3RD ST,CLEMENTINA ST,"3RD ST | CLEMENTINA ST | 3RD ST, HOWARD ST,3RD ST, FOLSOM ST,CLEMENTINA ST, KAPLAN LN,CLEMENTINA ST, 4TH ST",37.784213,-122.399497
72,3RD ST,FOLSOM ST,"3RD ST | FOLSOM ST | 3RD ST, CLEMENTINA ST,3RD ST, SAINT FRANCIS PL,FOLSOM ST, HAWTHORNE ST,FOLSOM ST, MABINI ST",37.783804,-122.398988
74,3RD ST,HARRISON ST,"3RD ST | HARRISON ST | 3RD ST, SAINT FRANCIS PL,3RD ST, PERRY ST,HARRISON ST, HAWTHORNE ST,HARRISON ST, LAPU-LAPU ST",37.782565,-122.397417
75,3RD ST,PERRY ST,"3RD ST | PERRY ST | 3RD ST, HARRISON ST,3RD ST, STILLMAN ST,PERRY ST, END,PERRY ST, 4TH ST",37.782130,-122.396863
76,3RD ST,STILLMAN ST,"3RD ST | STILLMAN ST | 3RD ST, PERRY ST,3RD ST, BRYANT ST,STILLMAN ST, 4TH ST",37.781771,-122.396411
77,3RD ST,BRYANT ST,"3RD ST | BRYANT ST | 3RD ST, STILLMAN ST,3RD ST, TABER PL,BRYANT ST, JACK LONDON ALY,BRYANT ST, RITCH ST",37.781340,-122.395872
80,3RD ST,VARNEY PL,"3RD ST | VARNEY PL | 3RD ST, SOUTH PARK,3RD ST, BRANNAN ST,VARNEY PL, JACK LONDON ALY",37.780362,-122.394624
81,3RD ST,BRANNAN ST,"3RD ST | BRANNAN ST | 3RD ST, VARNEY PL,3RD ST, TOWNSEND ST,BRANNAN ST, JACK LONDON ALY,BRANNAN ST, RITCH ST",37.780084,-122.394304
82,3RD ST,TOWNSEND ST,"3RD ST | TOWNSEND ST | 3RD ST, BRANNAN ST,3RD ST, KING ST,TOWNSEND ST, CLARENCE PL,TOWNSEND ST, RITCH ST",37.778863,-122.392782
83,3RD ST,KING ST,"3RD ST | KING ST | 3RD ST, TOWNSEND ST,3RD ST, BERRY ST,KING ST, 2ND ST,KING ST, 4TH ST",37.778008,-122.391722
84,3RD ST,BERRY ST,"3RD ST | BERRY ST | 3RD ST, KING ST,3RD ST, CHANNEL ST,BERRY ST, END,BERRY ST, 4TH ST",37.777544,-122.391114
85,3RD ST,CHANNEL ST,"3RD ST | CHANNEL ST | 3RD ST, BERRY ST,3RD ST, TERRY A FRANCOIS BLVD,CHANNEL ST, 4TH ST",37.774519,-122.389751
86,3RD ST,TERRY A FRANCOIS BLVD,"3RD ST | TERRY A FRANCOIS BLVD | 3RD ST, CHANNEL ST,3RD ST, CHANNEL,TERRY A FRANCOIS BLVD, MISSION ROCK ST",37.776281,-122.390085
88,3RD ST,MISSION ROCK ST,"3RD ST | MISSION ROCK ST | 3RD ST, CHANNEL,3RD ST, CHINA BASIN ST,MISSION ROCK ST, TERRY A FRANCOIS BLVD,MISSION ROCK ST, 4TH ST",37.772937,-122.389809
89,3RD ST,CHINA BASIN ST,"3RD ST | CHINA BASIN ST | 3RD ST, MISSION ROCK ST,3RD ST, MISSION BAY BLVD,CHINA BASIN ST, TERRY A FRANCOIS BLVD,CHINA BASIN ST, 4TH ST",37.772001,-122.389720
92,3RD ST,SOUTH ST,"3RD ST | SOUTH ST | 3RD ST, MISSION BAY BLVD,3RD ST, 16TH ST,SOUTH ST, BRIDGEVIEW WAY",37.768832,-122.389400
93,3RD ST,16TH ST,"3RD ST | 16TH ST | 3RD ST, SOUTH ST,3RD ST, NELSON RISING LN,16TH ST, ILLINOIS ST,16TH ST, 4TH ST",37.766873,-122.389206
94,3RD ST,NELSON RISING LN,"3RD ST | NELSON RISING LN | 3RD ST, 16TH ST,3RD ST, CAMPUS WAY,NELSON RISING LN, 4TH ST",37.769762,-122.389503
96,3RD ST,MARIPOSA ST,"3RD ST | MARIPOSA ST | 3RD ST, CAMPUS WAY,3RD ST, 18TH ST,MARIPOSA ST, ILLINOIS ST,MARIPOSA ST, TENNESSEE ST",37.764339,-122.388766
97,3RD ST,18TH ST,"3RD ST | 18TH ST | 3RD ST, MARIPOSA ST,3RD ST, 19TH ST,18TH ST, ILLINOIS ST,18TH ST, TENNESSEE ST",37.763057,-122.388848
98,3RD ST,19TH ST,"3RD ST | 19TH ST | 3RD ST, 18TH ST,3RD ST, 20TH ST,19TH ST, ILLINOIS ST,19TH ST, TENNESSEE ST",37.761781,-122.388612
99,3RD ST,20TH ST,"3RD ST | 20TH ST | 3RD ST, 19TH ST,3RD ST, 22ND ST,20TH ST, ILLINOIS ST,20TH ST, TENNESSEE ST",37.760508,-122.388480
100,3RD ST,22ND ST,"3RD ST | 22ND ST | 3RD ST, 20TH ST,3RD ST, 23RD ST,22ND ST, ILLINOIS ST,22ND ST, TENNESSEE ST",37.757959,-122.388248
101,3RD ST,23RD ST,"3RD ST | 23RD ST | 3RD ST, 22ND ST,3RD ST, 24TH ST,23RD ST, ILLINOIS ST,23RD ST, TENNESSEE ST",37.755399,-122.387905
102,3RD ST,24TH ST,"3RD ST | 24TH ST | 3RD ST, 23RD ST,3RD ST, 25TH ST,24TH ST, ILLINOIS ST,24TH ST, TENNESSEE ST",37.754115,-122.387968
103,3RD ST,25TH ST,"3RD ST | 25TH ST | 3RD ST, 24TH ST,3RD ST, 26TH ST,25TH ST, ILLINOIS ST,25TH ST, TENNESSEE ST",37.752837,-122.387869
104,3RD ST,26TH ST,"3RD ST | 26TH ST | 3RD ST, 25TH ST,3RD ST, CESAR CHAVEZ ST,26TH ST, MARYLAND ST,26TH ST, TENNESSEE ST",37.751566,-122.387574
105,3RD ST,CESAR CHAVEZ ST,"3RD ST | CESAR CHAVEZ ST | 3RD ST, 26TH ST,3RD ST, MARIN ST,CESAR CHAVEZ ST, ILLINOIS ST,CESAR CHAVEZ ST, TENNESSEE ST",37.750296,-122.387676
106,3RD ST,MARIN ST,"3RD ST | MARIN ST | 3RD ST, CESAR CHAVEZ ST,3RD ST, ARTHUR AVE,MARIN ST, ILLINOIS ST,MARIN ST, TENNESSEE ST",37.749007,-122.387579
107,3RD ST,ARTHUR AVE,"3RD ST | ARTHUR AVE | 3RD ST, MARIN ST,3RD ST, BURKE AVE,ARTHUR AVE, QUINT ST",37.746104,-122.387294
108,3RD ST,BURKE AVE,"3RD ST | BURKE AVE | 3RD ST, ARTHUR AVE,3RD ST, CUSTER AVE,BURKE AVE, END",37.744962,-122.387065
109,3RD ST,CUSTER AVE,"3RD ST | CUSTER AVE | 3RD ST, BURKE AVE,3RD ST, DAVIDSON AVE,CUSTER AVE, INDIA ST,CUSTER AVE, QUINT ST",37.744307,-122.387449
110,3RD ST,DAVIDSON AVE,"3RD ST | DAVIDSON AVE | 3RD ST, CUSTER AVE,3RD ST, PHELPS ST,DAVIDSON AVE, INDIA ST,DAVIDSON AVE, PHELPS ST",37.743501,-122.387565
111,3RD ST,PHELPS ST,"3RD ST | PHELPS ST | 3RD ST, DAVIDSON AVE,3RD ST, EVANS AVE,PHELPS ST, DAVIDSON AVE",37.743949,-122.387581
112,3RD ST,EVANS AVE,"3RD ST | EVANS AVE | 3RD ST, PHELPS ST,3RD ST, FAIRFAX AVE,EVANS AVE, NEWHALL ST,EVANS AVE, PHELPS ST",37.742709,-122.388044
113,3RD ST,FAIRFAX AVE,"3RD ST | FAIRFAX AVE | 3RD ST, EVANS AVE,3RD ST, GALVEZ AVE,FAIRFAX AVE, NEWHALL ST,FAIRFAX AVE, PHELPS ST",37.741956,-122.388306
114,3RD ST,GALVEZ AVE,"3RD ST | GALVEZ AVE | 3RD ST, FAIRFAX AVE,3RD ST, HUDSON AVE,GALVEZ AVE, NEWHALL ST,GALVEZ AVE, PHELPS ST",37.741164,-122.388572
115,3RD ST,HUDSON AVE,"3RD ST | HUDSON AVE | 3RD ST, GALVEZ AVE,3RD ST, INNES AVE,HUDSON AVE, NEWHALL ST,HUDSON AVE, PHELPS ST",37.740275,-122.388684
116,3RD ST,INNES AVE,"3RD ST | INNES AVE | 3RD ST, HUDSON AVE,3RD ST, NEWHALL ST,INNES AVE, NEWHALL ST,INNES AVE, PHELPS ST",37.739493,-122.388961
117,3RD ST,NEWHALL ST,"3RD ST | NEWHALL ST | 3RD ST, INNES AVE,3RD ST, JERROLD AVE,NEWHALL ST, INNES AVE,NEWHALL ST, 3RD ST",37.738653,-122.389493
118,3RD ST,JERROLD AVE,"3RD ST | JERROLD AVE | 3RD ST, NEWHALL ST,3RD ST, KIRKWOOD AVE,JERROLD AVE, MENDELL ST,JERROLD AVE, PHELPS ST",37.738707,-122.389240
119,3RD ST,KIRKWOOD AVE,"3RD ST | KIRKWOOD AVE | 3RD ST, JERROLD AVE,3RD ST, LA SALLE AVE,KIRKWOOD AVE, MENDELL ST,KIRKWOOD AVE, NEWHALL ST",37.737924,-122.389538
120,3RD ST,LA SALLE AVE,"3RD ST | LA SALLE AVE | 3RD ST, KIRKWOOD AVE,3RD ST, MCKINNON AVE,LA SALLE AVE, MENDELL ST,LA SALLE AVE, NEWHALL ST",37.737142,-122.389822
121,3RD ST,MCKINNON AVE,"3RD ST | MCKINNON AVE | 3RD ST, LA SALLE AVE,3RD ST, NEWCOMB AVE,MCKINNON AVE, MENDELL ST,MCKINNON AVE, NEWHALL ST",37.736359,-122.390097
122,3RD ST,NEWCOMB AVE,"3RD ST | NEWCOMB AVE | 3RD ST, MCKINNON AVE,3RD ST, OAKDALE AVE,NEWCOMB AVE, MENDELL ST,NEWCOMB AVE, NEWHALL ST",37.735566,-122.390370
123,3RD ST,OAKDALE AVE,"3RD ST | OAKDALE AVE | 3RD ST, NEWCOMB AVE,3RD ST, MENDELL ST,OAKDALE AVE, MENDELL ST,OAKDALE AVE, NEWHALL ST",37.734859,-122.390766
125,3RD ST,QUESADA AVE,"3RD ST | QUESADA AVE | 3RD ST, MENDELL ST,3RD ST, BAY VIEW ST,QUESADA AVE, LANE ST,QUESADA AVE, NEWHALL ST",37.733168,-122.391209
127,3RD ST,SHAFTER AVE,"3RD ST | SHAFTER AVE | 3RD ST, BAY VIEW ST,3RD ST, THOMAS AVE,SHAFTER AVE, LANE ST,SHAFTER AVE, SELBY ST",37.731631,-122.391911
128,3RD ST,THOMAS AVE,"3RD ST | THOMAS AVE | 3RD ST, SHAFTER AVE,3RD ST, THORNTON AVE,THOMAS AVE, LANE ST,THOMAS AVE, MADDUX AVE",37.730860,-122.392188
129,3RD ST,THORNTON AVE,"3RD ST | THORNTON AVE | 3RD ST, THOMAS AVE,3RD ST, UNDERWOOD AVE,THORNTON AVE, SAN BRUNO AVE,THORNTON AVE, LATONA ST",37.730639,-122.392113
130,3RD ST,UNDERWOOD AVE,"3RD ST | UNDERWOOD AVE | 3RD ST, THORNTON AVE,3RD ST, VAN DYKE AVE,UNDERWOOD AVE, LANE ST",37.730051,-122.392479
131,3RD ST,VAN DYKE AVE,"3RD ST | VAN DYKE AVE | 3RD ST, UNDERWOOD AVE,3RD ST, LANE ST,VAN DYKE AVE, LANE ST",37.729234,-122.392566
132,3RD ST,LANE ST,"3RD ST | LANE ST | 3RD ST, VAN DYKE AVE,3RD ST, LANE ST,LANE ST, VAN DYKE AVE,LANE ST, 3RD ST",37.728412,-122.393066
133,3RD ST,LANE ST,"3RD ST | LANE ST | 3RD ST, LANE ST,3RD ST, YOSEMITE AVE,LANE ST, VAN DYKE AVE,LANE ST, 3RD ST",37.728412,-122.393066
134,3RD ST,YOSEMITE AVE,"3RD ST | YOSEMITE AVE | 3RD ST, LANE ST,3RD ST, ARMSTRONG AVE,YOSEMITE AVE, KEITH ST,YOSEMITE AVE, LANE ST",37.727793,-122.393329
135,3RD ST,ARMSTRONG AVE,"3RD ST | ARMSTRONG AVE | 3RD ST, YOSEMITE AVE,3RD ST, BANCROFT AVE,ARMSTRONG AVE, KEITH ST,ARMSTRONG AVE, LANE ST",37.727029,-122.393650
136,3RD ST,BANCROFT AVE,"3RD ST | BANCROFT AVE | 3RD ST, ARMSTRONG AVE,3RD ST, CARROLL AVE,BANCROFT AVE, KEITH ST,BANCROFT AVE, MENDELL ST",37.726244,-122.393828
137,3RD ST,CARROLL AVE,"3RD ST | CARROLL AVE | 3RD ST, BANCROFT AVE,3RD ST, DONNER AVE,CARROLL AVE, KEITH ST,CARROLL AVE, END",37.725448,-122.394177
138,3RD ST,DONNER AVE,"3RD ST | DONNER AVE | 3RD ST, CARROLL AVE,3RD ST, EGBERT AVE,DONNER AVE, END,DONNER AVE, END",37.724747,-122.394707
139,3RD ST,EGBERT AVE,"3RD ST | EGBERT AVE | 3RD ST, DONNER AVE,3RD ST, FITZGERALD AVE,EGBERT AVE, JENNINGS ST,EGBERT AVE, END",37.723962,-122.395041
140,3RD ST,FITZGERALD AVE,"3RD ST | FITZGERALD AVE | 3RD ST, EGBERT AVE,3RD ST, KEITH ST,FITZGERALD AVE, KEITH ST,FITZGERALD AVE, END",37.723224,-122.395385
141,3RD ST,KEITH ST,"3RD ST | KEITH ST | 3RD ST, FITZGERALD AVE,3RD ST, GILMAN AVE,KEITH ST, FITZGERALD AVE,KEITH ST, SALINAS AVE",37.718989,-122.398693
142,3RD ST,GILMAN AVE,"3RD ST | GILMAN AVE | 3RD ST, KEITH ST,3RD ST, HOLLISTER AVE,GILMAN AVE, JENNINGS ST",37.722448,-122.395758
143,3RD ST,HOLLISTER AVE,"3RD ST | HOLLISTER AVE | 3RD ST, GILMAN AVE,3RD ST, INGERSON AVE,HOLLISTER AVE, JENNINGS ST",37.721670,-122.395888
144,3RD ST,INGERSON AVE,"3RD ST | INGERSON AVE | 3RD ST, HOLLISTER AVE,3RD ST, HWY 101 S ON RAMP,INGERSON AVE, JENNINGS ST",37.720969,-122.396406
146,3RD ST,SALINAS AVE,"3RD ST | SALINAS AVE | 3RD ST, HWY 101 S ON RAMP,3RD ST, KEY AVE,SALINAS AVE, KEITH ST",37.720749,-122.396517
147,3RD ST,KEY AVE,"3RD ST | KEY AVE | 3RD ST, SALINAS AVE,3RD ST, LE CONTE AVE,KEY AVE, JENNINGS ST,KEY AVE, END",37.719436,-122.396886
148,3RD ST,LE CONTE AVE,"3RD ST | LE CONTE AVE | 3RD ST, KEY AVE,3RD ST, BAY SHORE BLVD,LE CONTE AVE, JENNINGS ST,LE CONTE AVE, KEITH ST",37.718882,-122.397592
150,3RD ST,KEITH ST,"3RD ST | KEITH ST | 3RD ST, BAY SHORE BLVD,3RD ST, END,KEITH ST, FITZGERALD AVE,KEITH ST, SALINAS AVE",37.718989,-122.398693
162,4TH AVE,LAKE ST,"4TH AVE | LAKE ST | 4TH AVE, CALIFORNIA ST,LAKE ST, 3RD AVE,LAKE ST, 5TH AVE",37.786774,-122.462554
163,4TH AVE,CALIFORNIA ST,"4TH AVE | CALIFORNIA ST | 4TH AVE, LAKE ST,4TH AVE, CORNWALL ST,CALIFORNIA ST, 3RD AVE,CALIFORNIA ST, 5TH AVE",37.785264,-122.462446
